tag_id,plant,unit,instrument_type,criticality,description,manufacturer,model,location,installation_date,expected_ip,expected_protocol
"QUA-033","Toyota Georgetown","Quality Control","Paint Controller","High","Paint Controller for Quality Control operations","ABB","PaintController-1245","Quality Control - Station 33","2025-05-04","192.168.140.128","Modbus TCP"
"QUA-034","Toyota Georgetown","Quality Control","Assembly Robot","High","Assembly Robot for Quality Control operations","Fanuc","AssemblyRobot-2209","Quality Control - Station 34","2025-08-31","192.168.145.92","Profinet"
"QUA-035","Toyota Georgetown","Quality Control","Vision System","High","Vision System for Quality Control operations","KUKA","VisionSystem-1671","Quality Control - Station 35","2025-07-31","192.168.190.201","Modbus TCP"
"QUA-036","Toyota Georgetown","Quality Control","Conveyor Controller","High","Conveyor Controller for Quality Control operations","Fanuc","ConveyorController-8089","Quality Control - Station 36","2025-06-08","192.168.172.238","Profinet"
"QUA-037","Toyota Georgetown","Quality Control","SCADA System","High","SCADA System for Quality Control operations","ABB","SCADASystem-2020","Quality Control - Station 37","2025-03-13","192.168.2.29","OPC UA"
"QUA-038","Toyota Georgetown","Quality Control","Assembly Robot","High","Assembly Robot for Quality Control operations","ABB","AssemblyRobot-7718","Quality Control - Station 38","2025-03-19","192.168.125.153","Profinet"
"QUA-039","Toyota Georgetown","Quality Control","Conveyor Controller","High","Conveyor Controller for Quality Control operations","Rockwell","ConveyorController-9548","Quality Control - Station 39","2025-01-01","192.168.90.186","Profinet"
"QUA-040","Toyota Georgetown","Quality Control","Safety PLC","High","Safety PLC for Quality Control operations","Rockwell","SafetyPLC-8670","Quality Control - Station 40","2025-06-09","192.168.25.136","Profinet"
"STA-001","Toyota Georgetown","Stamping","Safety PLC","Medium","Safety PLC for Stamping operations","Fanuc","SafetyPLC-5654","Stamping - Station 1","2025-01-21","192.168.107.50","OPC UA"
"STA-002","Toyota Georgetown","Stamping","Assembly Robot","Medium","Assembly Robot for Stamping operations","Siemens","AssemblyRobot-6777","Stamping - Station 2","2025-10-15","192.168.1.9","Ethernet/IP"
"STA-003","Toyota Georgetown","Stamping","Safety PLC","Medium","Safety PLC for Stamping operations","KUKA","SafetyPLC-7651","Stamping - Station 3","2025-04-06","192.168.104.62","OPC UA"
"STA-004","Toyota Georgetown","Stamping","HMI Station","Medium","HMI Station for Stamping operations","Fanuc","HMIStation-4931","Stamping - Station 4","2025-06-21","192.168.92.45","Profinet"
"STA-005","Toyota Georgetown","Stamping","Vision System","Medium","Vision System for Stamping operations","KUKA","VisionSystem-8608","Stamping - Station 5","2025-04-30","192.168.24.145","Modbus TCP"
"STA-006","Toyota Georgetown","Stamping","Vision System","Medium","Vision System for Stamping operations","ABB","VisionSystem-9218","Stamping - Station 6","2025-09-29","192.168.190.46","Modbus TCP"
"STA-007","Toyota Georgetown","Stamping","Safety PLC","Medium","Safety PLC for Stamping operations","KUKA","SafetyPLC-4854","Stamping - Station 7","2025-06-09","192.168.9.207","Profinet"
"STA-008","Toyota Georgetown","Stamping","Paint Controller","Medium","Paint Controller for Stamping operations","KUKA","PaintController-5775","Stamping - Station 8","2025-02-07","192.168.65.114","Ethernet/IP"
"STA-009","Toyota Georgetown","Stamping","Welding Controller","Medium","Welding Controller for Stamping operations","Siemens","WeldingController-4965","Stamping - Station 9","2025-06-26","192.168.227.139","Modbus TCP"
"STA-010","Toyota Georgetown","Stamping","Welding Controller","Medium","Welding Controller for Stamping operations","KUKA","WeldingController-5672","Stamping - Station 10","2025-08-26","192.168.26.160","Ethernet/IP"
"STA-011","Toyota Georgetown","Stamping","Paint Controller","Medium","Paint Controller for Stamping operations","Fanuc","PaintController-1972","Stamping - Station 11","2025-05-05","192.168.223.136","Modbus TCP"
"STA-012","Toyota Georgetown","Stamping","Assembly Robot","Medium","Assembly Robot for Stamping operations","KUKA","AssemblyRobot-6516","Stamping - Station 12","2025-03-28","192.168.176.5","Modbus TCP"
"STA-013","Toyota Georgetown","Stamping","Paint Controller","Medium","Paint Controller for Stamping operations","Fanuc","PaintController-8557","Stamping - Station 13","2025-03-07","192.168.207.63","OPC UA"
"STA-014","Toyota Georgetown","Stamping","Safety PLC","Medium","Safety PLC for Stamping operations","Fanuc","SafetyPLC-7751","Stamping - Station 14","2025-02-10","192.168.130.81","Profinet"
"STA-015","Toyota Georgetown","Stamping","Conveyor Controller","Medium","Conveyor Controller for Stamping operations","ABB","ConveyorController-9711","Stamping - Station 15","2025-03-17","192.168.124.9","Ethernet/IP"
"STA-016","Toyota Georgetown","Stamping","Welding Controller","Medium","Welding Controller for Stamping operations","Siemens","WeldingController-5373","Stamping - Station 16","2025-03-11","192.168.254.9","Modbus TCP"
"STA-017","Toyota Georgetown","Stamping","Assembly Robot","Medium","Assembly Robot for Stamping operations","Rockwell","AssemblyRobot-1202","Stamping - Station 17","2025-06-06","192.168.198.232","Profinet"
"STA-018","Toyota Georgetown","Stamping","HMI Station","Medium","HMI Station for Stamping operations","ABB","HMIStation-5393","Stamping - Station 18","2025-06-20","192.168.155.38","OPC UA"
"STA-019","Toyota Georgetown","Stamping","SCADA System","Medium","SCADA System for Stamping operations","Rockwell","SCADASystem-6389","Stamping - Station 19","2025-04-03","192.168.79.191","Modbus TCP"
"STA-020","Toyota Georgetown","Stamping","Welding Controller","Medium","Welding Controller for Stamping operations","ABB","WeldingController-5872","Stamping - Station 20","2025-02-24","192.168.71.179","OPC UA"
"STA-021","Toyota Georgetown","Stamping","Assembly Robot","Medium","Assembly Robot for Stamping operations","Rockwell","AssemblyRobot-1680","Stamping - Station 21","2025-03-15","192.168.157.197","Profinet"
"STA-022","Toyota Georgetown","Stamping","Paint Controller","Medium","Paint Controller for Stamping operations","Rockwell","PaintController-5405","Stamping - Station 22","2025-07-20","192.168.50.143","OPC UA"
"STA-023","Toyota Georgetown","Stamping","HMI Station","Medium","HMI Station for Stamping operations","Fanuc","HMIStation-7091","Stamping - Station 23","2025-09-22","192.168.46.212","OPC UA"
"STA-024","Toyota Georgetown","Stamping","HMI Station","Medium","HMI Station for Stamping operations","Siemens","HMIStation-8974","Stamping - Station 24","2024-11-11","192.168.133.188","OPC UA"
"STA-025","Toyota Georgetown","Stamping","Vision System","Medium","Vision System for Stamping operations","Fanuc","VisionSystem-8763","Stamping - Station 25","2025-05-01","192.168.169.11","Profinet"
"STA-026","Toyota Georgetown","Stamping","Paint Controller","Medium","Paint Controller for Stamping operations","ABB","PaintController-2674","Stamping - Station 26","2024-12-14","192.168.142.134","OPC UA"
"STA-027","Toyota Georgetown","Stamping","Assembly Robot","Medium","Assembly Robot for Stamping operations","ABB","AssemblyRobot-6769","Stamping - Station 27","2025-04-25","192.168.215.33","OPC UA"
"BOD-001","Honda Marysville","Body Shop","HMI Station","Critical","HMI Station for Body Shop operations","Fanuc","HMIStation-3142","Body Shop - Station 1","2025-07-21","192.168.145.164","Ethernet/IP"
"BOD-002","Honda Marysville","Body Shop","SCADA System","Critical","SCADA System for Body Shop operations","ABB","SCADASystem-7391","Body Shop - Station 2","2024-11-13","192.168.205.83","Modbus TCP"
"BOD-003","Honda Marysville","Body Shop","Conveyor Controller","Critical","Conveyor Controller for Body Shop operations","Rockwell","ConveyorController-5676","Body Shop - Station 3","2025-10-19","192.168.72.240","Ethernet/IP"
"BOD-004","Honda Marysville","Body Shop","Conveyor Controller","Critical","Conveyor Controller for Body Shop operations","Siemens","ConveyorController-8363","Body Shop - Station 4","2025-06-02","192.168.74.104","Profinet"
"BOD-005","Honda Marysville","Body Shop","Paint Controller","Critical","Paint Controller for Body Shop operations","ABB","PaintController-1365","Body Shop - Station 5","2025-07-08","192.168.101.156","Modbus TCP"
"BOD-006","Honda Marysville","Body Shop","HMI Station","Critical","HMI Station for Body Shop operations","Siemens","HMIStation-4383","Body Shop - Station 6","2024-12-31","192.168.52.140","OPC UA"
"BOD-007","Honda Marysville","Body Shop","Safety PLC","Critical","Safety PLC for Body Shop operations","KUKA","SafetyPLC-5769","Body Shop - Station 7","2025-06-07","192.168.163.219","Modbus TCP"
"BOD-008","Honda Marysville","Body Shop","Assembly Robot","Critical","Assembly Robot for Body Shop operations","ABB","AssemblyRobot-8112","Body Shop - Station 8","2025-06-12","192.168.197.210","Profinet"
"BOD-009","Honda Marysville","Body Shop","Welding Controller","Critical","Welding Controller for Body Shop operations","KUKA","WeldingController-9089","Body Shop - Station 9","2025-08-23","192.168.30.123","Profinet"
"BOD-010","Honda Marysville","Body Shop","Vision System","Critical","Vision System for Body Shop operations","Fanuc","VisionSystem-9785","Body Shop - Station 10","2025-03-10","192.168.117.175","Ethernet/IP"
"BOD-011","Honda Marysville","Body Shop","Welding Controller","Critical","Welding Controller for Body Shop operations","Siemens","WeldingController-2048","Body Shop - Station 11","2024-11-26","192.168.182.96","Ethernet/IP"
"BOD-012","Honda Marysville","Body Shop","Assembly Robot","Critical","Assembly Robot for Body Shop operations","Fanuc","AssemblyRobot-5785","Body Shop - Station 12","2025-01-17","192.168.144.103","Ethernet/IP"
"BOD-013","Honda Marysville","Body Shop","Vision System","Critical","Vision System for Body Shop operations","ABB","VisionSystem-1730","Body Shop - Station 13","2025-05-26","192.168.28.44","Modbus TCP"
"BOD-014","Honda Marysville","Body Shop","Vision System","Critical","Vision System for Body Shop operations","ABB","VisionSystem-8383","Body Shop - Station 14","2024-12-14","192.168.252.111","Ethernet/IP"
"BOD-015","Honda Marysville","Body Shop","HMI Station","Critical","HMI Station for Body Shop operations","Rockwell","HMIStation-6378","Body Shop - Station 15","2025-05-17","192.168.70.2","Modbus TCP"
"BOD-016","Honda Marysville","Body Shop","Vision System","Critical","Vision System for Body Shop operations","ABB","VisionSystem-7617","Body Shop - Station 16","2025-08-14","192.168.16.5","OPC UA"
"BOD-017","Honda Marysville","Body Shop","Welding Controller","Critical","Welding Controller for Body Shop operations","Siemens","WeldingController-5074","Body Shop - Station 17","2025-10-15","192.168.224.113","Modbus TCP"
"BOD-018","Honda Marysville","Body Shop","HMI Station","Critical","HMI Station for Body Shop operations","ABB","HMIStation-7105","Body Shop - Station 18","2025-09-05","192.168.37.191","Ethernet/IP"
"BOD-019","Honda Marysville","Body Shop","Paint Controller","Critical","Paint Controller for Body Shop operations","Siemens","PaintController-8609","Body Shop - Station 19","2025-05-23","192.168.239.43","OPC UA"
"BOD-020","Honda Marysville","Body Shop","SCADA System","Critical","SCADA System for Body Shop operations","ABB","SCADASystem-5831","Body Shop - Station 20","2024-12-17","192.168.41.203","OPC UA"
"BOD-021","Honda Marysville","Body Shop","Assembly Robot","Critical","Assembly Robot for Body Shop operations","KUKA","AssemblyRobot-2011","Body Shop - Station 21","2025-07-02","192.168.49.78","Ethernet/IP"
"BOD-022","Honda Marysville","Body Shop","Welding Controller","Critical","Welding Controller for Body Shop operations","Rockwell","WeldingController-1260","Body Shop - Station 22","2025-02-04","192.168.25.7","Modbus TCP"
"BOD-023","Honda Marysville","Body Shop","Conveyor Controller","Critical","Conveyor Controller for Body Shop operations","KUKA","ConveyorController-1410","Body Shop - Station 23","2024-12-17","192.168.134.82","Ethernet/IP"
"BOD-024","Honda Marysville","Body Shop","SCADA System","Critical","SCADA System for Body Shop operations","ABB","SCADASystem-1511","Body Shop - Station 24","2025-10-16","192.168.244.140","Profinet"
"BOD-025","Honda Marysville","Body Shop","HMI Station","Critical","HMI Station for Body Shop operations","ABB","HMIStation-1035","Body Shop - Station 25","2025-04-21","192.168.238.217","Ethernet/IP"
"BOD-026","Honda Marysville","Body Shop","HMI Station","Critical","HMI Station for Body Shop operations","Fanuc","HMIStation-8405","Body Shop - Station 26","2025-05-01","192.168.14.80","Ethernet/IP"
"BOD-027","Honda Marysville","Body Shop","HMI Station","Critical","HMI Station for Body Shop operations","ABB","HMIStation-2115","Body Shop - Station 27","2025-04-30","192.168.173.66","Profinet"
"BOD-028","Honda Marysville","Body Shop","HMI Station","Critical","HMI Station for Body Shop operations","Fanuc","HMIStation-2450","Body Shop - Station 28","2024-11-30","192.168.189.52","OPC UA"
"BOD-029","Honda Marysville","Body Shop","Safety PLC","Critical","Safety PLC for Body Shop operations","Rockwell","SafetyPLC-6396","Body Shop - Station 29","2025-08-25","192.168.56.118","Modbus TCP"
"BOD-030","Honda Marysville","Body Shop","Safety PLC","Critical","Safety PLC for Body Shop operations","Siemens","SafetyPLC-4982","Body Shop - Station 30","2024-11-04","192.168.73.12","Modbus TCP"
"BOD-031","Honda Marysville","Body Shop","Conveyor Controller","Critical","Conveyor Controller for Body Shop operations","KUKA","ConveyorController-4779","Body Shop - Station 31","2025-06-24","192.168.121.210","OPC UA"
"BOD-032","Honda Marysville","Body Shop","Paint Controller","Critical","Paint Controller for Body Shop operations","Rockwell","PaintController-3307","Body Shop - Station 32","2025-09-17","192.168.49.228","Profinet"
"BOD-033","Honda Marysville","Body Shop","Vision System","Critical","Vision System for Body Shop operations","Siemens","VisionSystem-3992","Body Shop - Station 33","2025-01-07","192.168.84.83","Profinet"
"BOD-034","Honda Marysville","Body Shop","SCADA System","Critical","SCADA System for Body Shop operations","Siemens","SCADASystem-1617","Body Shop - Station 34","2025-02-13","192.168.47.27","Modbus TCP"
"BOD-035","Honda Marysville","Body Shop","HMI Station","Critical","HMI Station for Body Shop operations","ABB","HMIStation-6154","Body Shop - Station 35","2025-10-23","192.168.40.149","Modbus TCP"
"BOD-036","Honda Marysville","Body Shop","Safety PLC","Critical","Safety PLC for Body Shop operations","ABB","SafetyPLC-7652","Body Shop - Station 36","2024-12-06","192.168.241.0","OPC UA"
"BOD-037","Honda Marysville","Body Shop","Vision System","Critical","Vision System for Body Shop operations","Siemens","VisionSystem-5099","Body Shop - Station 37","2024-12-08","192.168.142.145","Ethernet/IP"
"BOD-038","Honda Marysville","Body Shop","Safety PLC","Critical","Safety PLC for Body Shop operations","Siemens","SafetyPLC-7801","Body Shop - Station 38","2025-02-04","192.168.66.7","OPC UA"
"BOD-039","Honda Marysville","Body Shop","HMI Station","Critical","HMI Station for Body Shop operations","Fanuc","HMIStation-7163","Body Shop - Station 39","2025-07-07","192.168.227.106","Profinet"
"BOD-040","Honda Marysville","Body Shop","Paint Controller","Critical","Paint Controller for Body Shop operations","Rockwell","PaintController-5980","Body Shop - Station 40","2025-03-23","192.168.251.47","Profinet"
"PAI-001","Honda Marysville","Paint Shop","Assembly Robot","Critical","Assembly Robot for Paint Shop operations","ABB","AssemblyRobot-5126","Paint Shop - Station 1","2025-02-22","192.168.227.121","Profinet"
"PAI-002","Honda Marysville","Paint Shop","Conveyor Controller","Critical","Conveyor Controller for Paint Shop operations","ABB","ConveyorController-4454","Paint Shop - Station 2","2025-03-09","192.168.214.43","Modbus TCP"
"PAI-003","Honda Marysville","Paint Shop","Conveyor Controller","Critical","Conveyor Controller for Paint Shop operations","Fanuc","ConveyorController-5668","Paint Shop - Station 3","2024-11-12","192.168.230.111","Profinet"
"PAI-004","Honda Marysville","Paint Shop","Safety PLC","Critical","Safety PLC for Paint Shop operations","Siemens","SafetyPLC-3463","Paint Shop - Station 4","2024-10-27","192.168.52.163","Ethernet/IP"
"PAI-005","Honda Marysville","Paint Shop","Welding Controller","Critical","Welding Controller for Paint Shop operations","Rockwell","WeldingController-9008","Paint Shop - Station 5","2024-11-02","192.168.166.156","Modbus TCP"
"PAI-006","Honda Marysville","Paint Shop","Assembly Robot","Critical","Assembly Robot for Paint Shop operations","ABB","AssemblyRobot-9474","Paint Shop - Station 6","2025-03-20","192.168.117.205","OPC UA"
"PAI-007","Honda Marysville","Paint Shop","Assembly Robot","Critical","Assembly Robot for Paint Shop operations","Fanuc","AssemblyRobot-7237","Paint Shop - Station 7","2025-07-22","192.168.204.21","Ethernet/IP"
"PAI-008","Honda Marysville","Paint Shop","SCADA System","Critical","SCADA System for Paint Shop operations","Rockwell","SCADASystem-9754","Paint Shop - Station 8","2025-01-30","192.168.25.82","Profinet"
"PAI-009","Honda Marysville","Paint Shop","HMI Station","Critical","HMI Station for Paint Shop operations","Rockwell","HMIStation-8309","Paint Shop - Station 9","2025-03-08","192.168.45.37","Profinet"
"PAI-010","Honda Marysville","Paint Shop","Conveyor Controller","Critical","Conveyor Controller for Paint Shop operations","Fanuc","ConveyorController-2049","Paint Shop - Station 10","2025-02-19","192.168.105.227","Profinet"
"PAI-011","Honda Marysville","Paint Shop","Vision System","Critical","Vision System for Paint Shop operations","Rockwell","VisionSystem-2465","Paint Shop - Station 11","2025-06-10","192.168.69.236","OPC UA"
"PAI-012","Honda Marysville","Paint Shop","Conveyor Controller","Critical","Conveyor Controller for Paint Shop operations","KUKA","ConveyorController-6292","Paint Shop - Station 12","2024-11-02","192.168.21.162","Ethernet/IP"
"PAI-013","Honda Marysville","Paint Shop","SCADA System","Critical","SCADA System for Paint Shop operations","Siemens","SCADASystem-5911","Paint Shop - Station 13","2025-07-11","192.168.131.215","Ethernet/IP"
"PAI-014","Honda Marysville","Paint Shop","SCADA System","Critical","SCADA System for Paint Shop operations","Siemens","SCADASystem-7109","Paint Shop - Station 14","2025-08-06","192.168.67.2","OPC UA"
"PAI-015","Honda Marysville","Paint Shop","Safety PLC","Critical","Safety PLC for Paint Shop operations","Fanuc","SafetyPLC-6500","Paint Shop - Station 15","2025-08-21","192.168.18.199","Modbus TCP"
"PAI-016","Honda Marysville","Paint Shop","Vision System","Critical","Vision System for Paint Shop operations","ABB","VisionSystem-8760","Paint Shop - Station 16","2025-05-05","192.168.55.236","Ethernet/IP"
"PAI-017","Honda Marysville","Paint Shop","Assembly Robot","Critical","Assembly Robot for Paint Shop operations","Siemens","AssemblyRobot-4299","Paint Shop - Station 17","2025-04-06","192.168.214.154","Ethernet/IP"
"PAI-018","Honda Marysville","Paint Shop","Welding Controller","Critical","Welding Controller for Paint Shop operations","Siemens","WeldingController-9535","Paint Shop - Station 18","2025-08-20","192.168.38.239","OPC UA"
"PAI-019","Honda Marysville","Paint Shop","Safety PLC","Critical","Safety PLC for Paint Shop operations","Fanuc","SafetyPLC-8233","Paint Shop - Station 19","2025-06-29","192.168.82.26","Modbus TCP"
"PAI-020","Honda Marysville","Paint Shop","Welding Controller","Critical","Welding Controller for Paint Shop operations","Siemens","WeldingController-9079","Paint Shop - Station 20","2025-02-14","192.168.86.72","Modbus TCP"
"PAI-021","Honda Marysville","Paint Shop","Welding Controller","Critical","Welding Controller for Paint Shop operations","KUKA","WeldingController-8943","Paint Shop - Station 21","2025-09-09","192.168.245.66","Modbus TCP"
"PAI-022","Honda Marysville","Paint Shop","Paint Controller","Critical","Paint Controller for Paint Shop operations","Fanuc","PaintController-8122","Paint Shop - Station 22","2025-03-30","192.168.79.190","Modbus TCP"
"PAI-023","Honda Marysville","Paint Shop","SCADA System","Critical","SCADA System for Paint Shop operations","Siemens","SCADASystem-5264","Paint Shop - Station 23","2025-09-11","192.168.124.190","Modbus TCP"
"PAI-024","Honda Marysville","Paint Shop","Welding Controller","Critical","Welding Controller for Paint Shop operations","ABB","WeldingController-3398","Paint Shop - Station 24","2025-01-30","192.168.175.197","Profinet"
"PAI-025","Honda Marysville","Paint Shop","Vision System","Critical","Vision System for Paint Shop operations","Fanuc","VisionSystem-3831","Paint Shop - Station 25","2025-05-21","192.168.237.40","Profinet"
"ASS-001","Honda Marysville","Assembly Line","Assembly Robot","Critical","Assembly Robot for Assembly Line operations","Rockwell","AssemblyRobot-7504","Assembly Line - Station 1","2024-11-14","192.168.88.171","Ethernet/IP"
"ASS-002","Honda Marysville","Assembly Line","Safety PLC","Critical","Safety PLC for Assembly Line operations","Rockwell","SafetyPLC-2246","Assembly Line - Station 2","2025-05-11","192.168.128.74","Modbus TCP"
"ASS-003","Honda Marysville","Assembly Line","SCADA System","Critical","SCADA System for Assembly Line operations","KUKA","SCADASystem-2355","Assembly Line - Station 3","2025-09-30","192.168.217.40","Ethernet/IP"
"ASS-004","Honda Marysville","Assembly Line","Welding Controller","Critical","Welding Controller for Assembly Line operations","Fanuc","WeldingController-9551","Assembly Line - Station 4","2025-02-24","192.168.99.159","Ethernet/IP"
"ASS-005","Honda Marysville","Assembly Line","Safety PLC","Critical","Safety PLC for Assembly Line operations","Rockwell","SafetyPLC-6260","Assembly Line - Station 5","2025-04-07","192.168.156.27","Ethernet/IP"
"ASS-006","Honda Marysville","Assembly Line","Paint Controller","Critical","Paint Controller for Assembly Line operations","KUKA","PaintController-9094","Assembly Line - Station 6","2025-08-03","192.168.170.122","Ethernet/IP"
"ASS-007","Honda Marysville","Assembly Line","Welding Controller","Critical","Welding Controller for Assembly Line operations","Fanuc","WeldingController-4151","Assembly Line - Station 7","2025-09-07","192.168.10.111","Modbus TCP"
"ASS-008","Honda Marysville","Assembly Line","SCADA System","Critical","SCADA System for Assembly Line operations","Fanuc","SCADASystem-5162","Assembly Line - Station 8","2025-03-22","192.168.77.76","Ethernet/IP"
"ASS-009","Honda Marysville","Assembly Line","Conveyor Controller","Critical","Conveyor Controller for Assembly Line operations","Rockwell","ConveyorController-4392","Assembly Line - Station 9","2025-03-26","192.168.30.219","Modbus TCP"
"ASS-010","Honda Marysville","Assembly Line","HMI Station","Critical","HMI Station for Assembly Line operations","KUKA","HMIStation-9397","Assembly Line - Station 10","2025-08-12","192.168.9.227","OPC UA"
"ASS-011","Honda Marysville","Assembly Line","Assembly Robot","Critical","Assembly Robot for Assembly Line operations","Rockwell","AssemblyRobot-7831","Assembly Line - Station 11","2025-03-16","192.168.116.24","Modbus TCP"
"ASS-012","Honda Marysville","Assembly Line","Welding Controller","Critical","Welding Controller for Assembly Line operations","Siemens","WeldingController-9756","Assembly Line - Station 12","2025-04-24","192.168.208.176","OPC UA"
"ASS-013","Honda Marysville","Assembly Line","Safety PLC","Critical","Safety PLC for Assembly Line operations","Fanuc","SafetyPLC-6619","Assembly Line - Station 13","2024-11-10","192.168.145.24","Profinet"
"ASS-014","Honda Marysville","Assembly Line","Safety PLC","Critical","Safety PLC for Assembly Line operations","Rockwell","SafetyPLC-9536","Assembly Line - Station 14","2025-02-06","192.168.2.16","OPC UA"
"ASS-015","Honda Marysville","Assembly Line","Paint Controller","Critical","Paint Controller for Assembly Line operations","Fanuc","PaintController-3294","Assembly Line - Station 15","2025-05-11","192.168.240.47","Ethernet/IP"
"ASS-016","Honda Marysville","Assembly Line","Vision System","Critical","Vision System for Assembly Line operations","Fanuc","VisionSystem-6369","Assembly Line - Station 16","2025-02-03","192.168.65.238","Profinet"
"ASS-017","Honda Marysville","Assembly Line","SCADA System","Critical","SCADA System for Assembly Line operations","KUKA","SCADASystem-1060","Assembly Line - Station 17","2024-12-04","192.168.102.42","Modbus TCP"
"ASS-018","Honda Marysville","Assembly Line","HMI Station","Critical","HMI Station for Assembly Line operations","ABB","HMIStation-5991","Assembly Line - Station 18","2024-12-30","192.168.186.98","OPC UA"
"ASS-019","Honda Marysville","Assembly Line","Welding Controller","Critical","Welding Controller for Assembly Line operations","Fanuc","WeldingController-1974","Assembly Line - Station 19","2025-10-18","192.168.24.234","Profinet"
"ASS-020","Honda Marysville","Assembly Line","Assembly Robot","Critical","Assembly Robot for Assembly Line operations","Siemens","AssemblyRobot-1909","Assembly Line - Station 20","2025-03-04","192.168.160.184","Ethernet/IP"
"ASS-021","Honda Marysville","Assembly Line","HMI Station","Critical","HMI Station for Assembly Line operations","Fanuc","HMIStation-1349","Assembly Line - Station 21","2025-08-29","192.168.13.158","OPC UA"
"ASS-022","Honda Marysville","Assembly Line","Paint Controller","Critical","Paint Controller for Assembly Line operations","ABB","PaintController-8396","Assembly Line - Station 22","2025-03-27","192.168.170.15","OPC UA"
"ASS-023","Honda Marysville","Assembly Line","Assembly Robot","Critical","Assembly Robot for Assembly Line operations","Fanuc","AssemblyRobot-4254","Assembly Line - Station 23","2024-12-09","192.168.110.202","Profinet"
"ASS-024","Honda Marysville","Assembly Line","Conveyor Controller","Critical","Conveyor Controller for Assembly Line operations","Rockwell","ConveyorController-5752","Assembly Line - Station 24","2025-05-18","192.168.29.38","OPC UA"
"ASS-025","Honda Marysville","Assembly Line","Safety PLC","Critical","Safety PLC for Assembly Line operations","ABB","SafetyPLC-5683","Assembly Line - Station 25","2025-06-23","192.168.236.119","Modbus TCP"
"POW-001","Honda Marysville","Powertrain","Conveyor Controller","Medium","Conveyor Controller for Powertrain operations","Rockwell","ConveyorController-9168","Powertrain - Station 1","2025-02-13","192.168.174.43","Ethernet/IP"
"POW-002","Honda Marysville","Powertrain","Safety PLC","Medium","Safety PLC for Powertrain operations","ABB","SafetyPLC-3484","Powertrain - Station 2","2025-06-19","192.168.100.142","Ethernet/IP"
"POW-003","Honda Marysville","Powertrain","HMI Station","Medium","HMI Station for Powertrain operations","Fanuc","HMIStation-8380","Powertrain - Station 3","2025-09-01","192.168.124.40","OPC UA"
"POW-004","Honda Marysville","Powertrain","Paint Controller","Medium","Paint Controller for Powertrain operations","Fanuc","PaintController-9569","Powertrain - Station 4","2025-02-11","192.168.252.213","Profinet"
"POW-005","Honda Marysville","Powertrain","Assembly Robot","Medium","Assembly Robot for Powertrain operations","Siemens","AssemblyRobot-7439","Powertrain - Station 5","2025-04-22","192.168.93.67","OPC UA"
"POW-006","Honda Marysville","Powertrain","SCADA System","Medium","SCADA System for Powertrain operations","Siemens","SCADASystem-2497","Powertrain - Station 6","2024-12-28","192.168.196.151","Ethernet/IP"
"POW-007","Honda Marysville","Powertrain","SCADA System","Medium","SCADA System for Powertrain operations","Fanuc","SCADASystem-6333","Powertrain - Station 7","2025-01-07","192.168.116.35","OPC UA"
"POW-008","Honda Marysville","Powertrain","Paint Controller","Medium","Paint Controller for Powertrain operations","Fanuc","PaintController-5841","Powertrain - Station 8","2024-11-08","192.168.215.106","Profinet"
"POW-009","Honda Marysville","Powertrain","Paint Controller","Medium","Paint Controller for Powertrain operations","ABB","PaintController-4953","Powertrain - Station 9","2025-07-26","192.168.31.172","Profinet"
"POW-010","Honda Marysville","Powertrain","Assembly Robot","Medium","Assembly Robot for Powertrain operations","Siemens","AssemblyRobot-6292","Powertrain - Station 10","2025-07-23","192.168.176.24","OPC UA"
"POW-011","Honda Marysville","Powertrain","Assembly Robot","Medium","Assembly Robot for Powertrain operations","ABB","AssemblyRobot-5091","Powertrain - Station 11","2025-07-23","192.168.233.218","Profinet"
"POW-012","Honda Marysville","Powertrain","Welding Controller","Medium","Welding Controller for Powertrain operations","Fanuc","WeldingController-3982","Powertrain - Station 12","2025-05-11","192.168.30.1","OPC UA"
"POW-013","Honda Marysville","Powertrain","Welding Controller","Medium","Welding Controller for Powertrain operations","Siemens","WeldingController-5635","Powertrain - Station 13","2024-11-16","192.168.16.60","OPC UA"
"POW-014","Honda Marysville","Powertrain","Safety PLC","Medium","Safety PLC for Powertrain operations","Rockwell","SafetyPLC-9842","Powertrain - Station 14","2025-03-13","192.168.176.109","Ethernet/IP"
"POW-015","Honda Marysville","Powertrain","Paint Controller","Medium","Paint Controller for Powertrain operations","KUKA","PaintController-5285","Powertrain - Station 15","2025-04-14","192.168.251.161","Ethernet/IP"
"POW-016","Honda Marysville","Powertrain","Welding Controller","Medium","Welding Controller for Powertrain operations","ABB","WeldingController-5139","Powertrain - Station 16","2025-08-03","192.168.174.71","Profinet"
"POW-017","Honda Marysville","Powertrain","Safety PLC","Medium","Safety PLC for Powertrain operations","Rockwell","SafetyPLC-4981","Powertrain - Station 17","2024-11-02","192.168.94.209","Profinet"
"POW-018","Honda Marysville","Powertrain","Assembly Robot","Medium","Assembly Robot for Powertrain operations","Rockwell","AssemblyRobot-3253","Powertrain - Station 18","2025-03-18","192.168.163.12","Modbus TCP"
"POW-019","Honda Marysville","Powertrain","Paint Controller","Medium","Paint Controller for Powertrain operations","Rockwell","PaintController-1960","Powertrain - Station 19","2025-09-02","192.168.42.219","OPC UA"
