tag_id,plant,unit,instrument_type,criticality,description,manufacturer,model,location,nerc_cip,ferc_regulated,grid_stability
"CON-048","Pacific Power","Control Center","Protection Relay","Critical","Protection Relay for Control Center operations","Siemens","ProtectionRelay-7705","Control Center - Bay 1","true","true","true"
"CON-049","Pacific Power","Control Center","IED","Critical","IED for Control Center operations","ABB","IED-7564","Control Center - Bay 12","true","true","true"
"CON-050","Pacific Power","Control Center","Environmental Monitor","Critical","Environmental Monitor for Control Center operations","Honeywell","EnvironmentalMonitor-5679","Control Center - Bay 5","true","true","true"
"CON-051","Pacific Power","Control Center","DMS","Critical","DMS for Control Center operations","Honeywell","DMS-7118","Control Center - Bay 18","true","true","true"
"SUB-001","Pacific Power","Substation","Protection Relay","High","Protection Relay for Substation operations","ABB","ProtectionRelay-6293","Substation - Bay 17","true","true","false"
"SUB-002","Pacific Power","Substation","Protection Relay","High","Protection Relay for Substation operations","Honeywell","ProtectionRelay-7511","Substation - Bay 9","true","true","false"
"SUB-003","Pacific Power","Substation","DMS","High","DMS for Substation operations","GE","DMS-4498","Substation - Bay 14","true","true","false"
"SUB-004","Pacific Power","Substation","EMS","High","EMS for Substation operations","ABB","EMS-4845","Substation - Bay 8","true","true","false"
"SUB-005","Pacific Power","Substation","Arc Flash Monitor","High","Arc Flash Monitor for Substation operations","Siemens","ArcFlashMonitor-3683","Substation - Bay 9","true","true","false"
"SUB-006","Pacific Power","Substation","Environmental Monitor","High","Environmental Monitor for Substation operations","Schneider","EnvironmentalMonitor-8453","Substation - Bay 15","true","true","false"
"SUB-007","Pacific Power","Substation","DMS","High","DMS for Substation operations","ABB","DMS-9532","Substation - Bay 4","true","true","false"
"SUB-008","Pacific Power","Substation","EMS","High","EMS for Substation operations","Schneider","EMS-3196","Substation - Bay 4","true","true","false"
"SUB-009","Pacific Power","Substation","Environmental Monitor","High","Environmental Monitor for Substation operations","ABB","EnvironmentalMonitor-1049","Substation - Bay 11","true","true","false"
"SUB-010","Pacific Power","Substation","DMS","High","DMS for Substation operations","ABB","DMS-4901","Substation - Bay 2","true","true","false"
"SUB-011","Pacific Power","Substation","SCADA","High","SCADA for Substation operations","GE","SCADA-7333","Substation - Bay 13","true","true","false"
"SUB-012","Pacific Power","Substation","SCADA","High","SCADA for Substation operations","ABB","SCADA-4555","Substation - Bay 17","true","true","false"
"SUB-013","Pacific Power","Substation","RTU","High","RTU for Substation operations","ABB","RTU-4960","Substation - Bay 16","true","true","false"
"SUB-014","Pacific Power","Substation","Arc Flash Monitor","High","Arc Flash Monitor for Substation operations","GE","ArcFlashMonitor-9660","Substation - Bay 19","true","true","false"
"SUB-015","Pacific Power","Substation","EMS","High","EMS for Substation operations","Honeywell","EMS-3555","Substation - Bay 20","true","true","false"
"SUB-016","Pacific Power","Substation","EMS","High","EMS for Substation operations","Siemens","EMS-4986","Substation - Bay 15","true","true","false"
"SUB-017","Pacific Power","Substation","Protection Relay","High","Protection Relay for Substation operations","GE","ProtectionRelay-2723","Substation - Bay 20","true","true","false"
"SUB-018","Pacific Power","Substation","IED","High","IED for Substation operations","GE","IED-9531","Substation - Bay 6","true","true","false"
"SUB-019","Pacific Power","Substation","Environmental Monitor","High","Environmental Monitor for Substation operations","Honeywell","EnvironmentalMonitor-7211","Substation - Bay 20","true","true","false"
"SUB-020","Pacific Power","Substation","EMS","High","EMS for Substation operations","GE","EMS-1575","Substation - Bay 14","true","true","false"
"SUB-021","Pacific Power","Substation","Protection Relay","High","Protection Relay for Substation operations","Schneider","ProtectionRelay-1949","Substation - Bay 20","true","true","false"
"SUB-022","Pacific Power","Substation","Arc Flash Monitor","High","Arc Flash Monitor for Substation operations","Siemens","ArcFlashMonitor-6283","Substation - Bay 2","true","true","false"
"SUB-023","Pacific Power","Substation","DMS","High","DMS for Substation operations","GE","DMS-7307","Substation - Bay 11","true","true","false"
"SUB-024","Pacific Power","Substation","IED","High","IED for Substation operations","Siemens","IED-3535","Substation - Bay 14","true","true","false"
"SUB-025","Pacific Power","Substation","DMS","High","DMS for Substation operations","Siemens","DMS-3722","Substation - Bay 17","true","true","false"
"SUB-026","Pacific Power","Substation","DMS","High","DMS for Substation operations","Siemens","DMS-2138","Substation - Bay 18","true","true","false"
"SUB-027","Pacific Power","Substation","IED","High","IED for Substation operations","Honeywell","IED-7620","Substation - Bay 1","true","true","false"
"SUB-028","Pacific Power","Substation","Protection Relay","High","Protection Relay for Substation operations","Siemens","ProtectionRelay-2152","Substation - Bay 7","true","true","false"
"SUB-029","Pacific Power","Substation","EMS","High","EMS for Substation operations","Siemens","EMS-2757","Substation - Bay 15","true","true","false"
"SUB-030","Pacific Power","Substation","IED","High","IED for Substation operations","Honeywell","IED-9850","Substation - Bay 2","true","true","false"
"SUB-031","Pacific Power","Substation","HMI","High","HMI for Substation operations","Schneider","HMI-3026","Substation - Bay 14","true","true","false"
"SUB-032","Pacific Power","Substation","Protection Relay","High","Protection Relay for Substation operations","Honeywell","ProtectionRelay-8582","Substation - Bay 18","true","true","false"
"SUB-033","Pacific Power","Substation","Grid Controller","High","Grid Controller for Substation operations","Schneider","GridController-9275","Substation - Bay 1","true","true","false"
"SUB-034","Pacific Power","Substation","DMS","High","DMS for Substation operations","ABB","DMS-1036","Substation - Bay 17","true","true","false"
"SUB-035","Pacific Power","Substation","Arc Flash Monitor","High","Arc Flash Monitor for Substation operations","Schneider","ArcFlashMonitor-7473","Substation - Bay 7","true","true","false"
"SUB-036","Pacific Power","Substation","Environmental Monitor","High","Environmental Monitor for Substation operations","Siemens","EnvironmentalMonitor-1142","Substation - Bay 17","true","true","false"
"SUB-037","Pacific Power","Substation","DMS","High","DMS for Substation operations","Honeywell","DMS-7792","Substation - Bay 9","true","true","false"
"SUB-038","Pacific Power","Substation","Environmental Monitor","High","Environmental Monitor for Substation operations","ABB","EnvironmentalMonitor-5237","Substation - Bay 19","true","true","false"
"SUB-039","Pacific Power","Substation","EMS","High","EMS for Substation operations","Schneider","EMS-8370","Substation - Bay 14","true","true","false"
"SUB-040","Pacific Power","Substation","Environmental Monitor","High","Environmental Monitor for Substation operations","Honeywell","EnvironmentalMonitor-9228","Substation - Bay 4","true","true","false"
"SUB-041","Pacific Power","Substation","Arc Flash Monitor","High","Arc Flash Monitor for Substation operations","Honeywell","ArcFlashMonitor-4736","Substation - Bay 15","true","true","false"
"SUB-042","Pacific Power","Substation","Protection Relay","High","Protection Relay for Substation operations","Schneider","ProtectionRelay-6003","Substation - Bay 11","true","true","false"
"SUB-043","Pacific Power","Substation","RTU","High","RTU for Substation operations","ABB","RTU-2424","Substation - Bay 12","true","true","false"
"SUB-044","Pacific Power","Substation","HMI","High","HMI for Substation operations","GE","HMI-7541","Substation - Bay 16","true","true","false"
"SUB-045","Pacific Power","Substation","Protection Relay","High","Protection Relay for Substation operations","Schneider","ProtectionRelay-9997","Substation - Bay 14","true","true","false"
"SUB-046","Pacific Power","Substation","EMS","High","EMS for Substation operations","GE","EMS-2287","Substation - Bay 2","true","true","false"
"SUB-047","Pacific Power","Substation","Protection Relay","High","Protection Relay for Substation operations","GE","ProtectionRelay-6180","Substation - Bay 15","true","true","false"
"SUB-048","Pacific Power","Substation","DMS","High","DMS for Substation operations","Siemens","DMS-6021","Substation - Bay 5","true","true","false"
"SUB-049","Pacific Power","Substation","Grid Controller","High","Grid Controller for Substation operations","Schneider","GridController-4193","Substation - Bay 7","true","true","false"
"SUB-050","Pacific Power","Substation","Grid Controller","High","Grid Controller for Substation operations","Siemens","GridController-8410","Substation - Bay 2","true","true","false"
"SUB-051","Pacific Power","Substation","Arc Flash Monitor","High","Arc Flash Monitor for Substation operations","Siemens","ArcFlashMonitor-7847","Substation - Bay 2","true","true","false"
"SUB-052","Pacific Power","Substation","Arc Flash Monitor","High","Arc Flash Monitor for Substation operations","Siemens","ArcFlashMonitor-7810","Substation - Bay 10","true","true","false"
"SUB-053","Pacific Power","Substation","IED","High","IED for Substation operations","Siemens","IED-8803","Substation - Bay 17","true","true","false"
"SUB-054","Pacific Power","Substation","Arc Flash Monitor","High","Arc Flash Monitor for Substation operations","GE","ArcFlashMonitor-1681","Substation - Bay 3","true","true","false"
"SUB-055","Pacific Power","Substation","DMS","High","DMS for Substation operations","ABB","DMS-7889","Substation - Bay 8","true","true","false"
"SUB-056","Pacific Power","Substation","Arc Flash Monitor","High","Arc Flash Monitor for Substation operations","Siemens","ArcFlashMonitor-8836","Substation - Bay 4","true","true","false"
"SUB-057","Pacific Power","Substation","Protection Relay","High","Protection Relay for Substation operations","GE","ProtectionRelay-5494","Substation - Bay 17","true","true","false"
"ENV-001","Pacific Power","Environmental Controls","SCADA","Medium","SCADA for Environmental Controls operations","Schneider","SCADA-5244","Environmental Controls - Bay 4","true","false","false"
"ENV-002","Pacific Power","Environmental Controls","Protection Relay","Medium","Protection Relay for Environmental Controls operations","Siemens","ProtectionRelay-1741","Environmental Controls - Bay 4","true","false","false"
"ENV-003","Pacific Power","Environmental Controls","EMS","Medium","EMS for Environmental Controls operations","Honeywell","EMS-3475","Environmental Controls - Bay 15","true","false","false"
"ENV-004","Pacific Power","Environmental Controls","HMI","Medium","HMI for Environmental Controls operations","GE","HMI-9718","Environmental Controls - Bay 10","true","false","false"
"ENV-005","Pacific Power","Environmental Controls","Protection Relay","Medium","Protection Relay for Environmental Controls operations","Schneider","ProtectionRelay-9319","Environmental Controls - Bay 8","true","false","false"
"ENV-006","Pacific Power","Environmental Controls","Protection Relay","Medium","Protection Relay for Environmental Controls operations","Honeywell","ProtectionRelay-1046","Environmental Controls - Bay 15","true","false","false"
"ENV-007","Pacific Power","Environmental Controls","Protection Relay","Medium","Protection Relay for Environmental Controls operations","Siemens","ProtectionRelay-1683","Environmental Controls - Bay 17","true","false","false"
"ENV-008","Pacific Power","Environmental Controls","EMS","Medium","EMS for Environmental Controls operations","Schneider","EMS-4433","Environmental Controls - Bay 7","true","false","false"
"ENV-009","Pacific Power","Environmental Controls","EMS","Medium","EMS for Environmental Controls operations","ABB","EMS-4130","Environmental Controls - Bay 19","true","false","false"
"ENV-010","Pacific Power","Environmental Controls","Arc Flash Monitor","Medium","Arc Flash Monitor for Environmental Controls operations","ABB","ArcFlashMonitor-9848","Environmental Controls - Bay 18","true","false","false"
"ENV-011","Pacific Power","Environmental Controls","HMI","Medium","HMI for Environmental Controls operations","Schneider","HMI-9409","Environmental Controls - Bay 11","true","false","false"
"ENV-012","Pacific Power","Environmental Controls","EMS","Medium","EMS for Environmental Controls operations","Honeywell","EMS-7452","Environmental Controls - Bay 8","true","false","false"
"ENV-013","Pacific Power","Environmental Controls","Arc Flash Monitor","Medium","Arc Flash Monitor for Environmental Controls operations","GE","ArcFlashMonitor-7867","Environmental Controls - Bay 8","true","false","false"
"ENV-014","Pacific Power","Environmental Controls","Arc Flash Monitor","Medium","Arc Flash Monitor for Environmental Controls operations","Siemens","ArcFlashMonitor-9943","Environmental Controls - Bay 9","true","false","false"
"ENV-015","Pacific Power","Environmental Controls","Grid Controller","Medium","Grid Controller for Environmental Controls operations","Schneider","GridController-2117","Environmental Controls - Bay 3","true","false","false"
"ENV-016","Pacific Power","Environmental Controls","RTU","Medium","RTU for Environmental Controls operations","Honeywell","RTU-1381","Environmental Controls - Bay 11","true","false","false"
"ENV-017","Pacific Power","Environmental Controls","HMI","Medium","HMI for Environmental Controls operations","ABB","HMI-4056","Environmental Controls - Bay 12","true","false","false"
"ENV-018","Pacific Power","Environmental Controls","Environmental Monitor","Medium","Environmental Monitor for Environmental Controls operations","GE","EnvironmentalMonitor-8812","Environmental Controls - Bay 14","true","false","false"
"ENV-019","Pacific Power","Environmental Controls","SCADA","Medium","SCADA for Environmental Controls operations","Schneider","SCADA-5665","Environmental Controls - Bay 16","true","false","false"
"ENV-020","Pacific Power","Environmental Controls","IED","Medium","IED for Environmental Controls operations","Siemens","IED-4439","Environmental Controls - Bay 12","true","false","false"
"ENV-021","Pacific Power","Environmental Controls","Environmental Monitor","Medium","Environmental Monitor for Environmental Controls operations","ABB","EnvironmentalMonitor-2063","Environmental Controls - Bay 8","true","false","false"
"ENV-022","Pacific Power","Environmental Controls","SCADA","Medium","SCADA for Environmental Controls operations","Honeywell","SCADA-4188","Environmental Controls - Bay 17","true","false","false"
"ENV-023","Pacific Power","Environmental Controls","Environmental Monitor","Medium","Environmental Monitor for Environmental Controls operations","Schneider","EnvironmentalMonitor-9586","Environmental Controls - Bay 2","true","false","false"
"ENV-024","Pacific Power","Environmental Controls","RTU","Medium","RTU for Environmental Controls operations","Schneider","RTU-8294","Environmental Controls - Bay 16","true","false","false"
"ENV-025","Pacific Power","Environmental Controls","Grid Controller","Medium","Grid Controller for Environmental Controls operations","Honeywell","GridController-6750","Environmental Controls - Bay 13","true","false","false"
"ENV-026","Pacific Power","Environmental Controls","IED","Medium","IED for Environmental Controls operations","ABB","IED-6051","Environmental Controls - Bay 19","true","false","false"
"ENV-027","Pacific Power","Environmental Controls","SCADA","Medium","SCADA for Environmental Controls operations","ABB","SCADA-5765","Environmental Controls - Bay 2","true","false","false"
"ENV-028","Pacific Power","Environmental Controls","EMS","Medium","EMS for Environmental Controls operations","GE","EMS-4722","Environmental Controls - Bay 9","true","false","false"
"ENV-029","Pacific Power","Environmental Controls","RTU","Medium","RTU for Environmental Controls operations","Schneider","RTU-1823","Environmental Controls - Bay 8","true","false","false"
"ENV-030","Pacific Power","Environmental Controls","EMS","Medium","EMS for Environmental Controls operations","ABB","EMS-5394","Environmental Controls - Bay 9","true","false","false"
"ENV-031","Pacific Power","Environmental Controls","IED","Medium","IED for Environmental Controls operations","ABB","IED-8026","Environmental Controls - Bay 2","true","false","false"
"ENV-032","Pacific Power","Environmental Controls","Environmental Monitor","Medium","Environmental Monitor for Environmental Controls operations","Honeywell","EnvironmentalMonitor-2438","Environmental Controls - Bay 15","true","false","false"
"ENV-033","Pacific Power","Environmental Controls","DMS","Medium","DMS for Environmental Controls operations","ABB","DMS-9339","Environmental Controls - Bay 9","true","false","false"
"ENV-034","Pacific Power","Environmental Controls","Environmental Monitor","Medium","Environmental Monitor for Environmental Controls operations","Honeywell","EnvironmentalMonitor-2031","Environmental Controls - Bay 12","true","false","false"
"ENV-035","Pacific Power","Environmental Controls","DMS","Medium","DMS for Environmental Controls operations","Siemens","DMS-1787","Environmental Controls - Bay 5","true","false","false"
"ENV-036","Pacific Power","Environmental Controls","DMS","Medium","DMS for Environmental Controls operations","GE","DMS-1025","Environmental Controls - Bay 13","true","false","false"
"ENV-037","Pacific Power","Environmental Controls","Protection Relay","Medium","Protection Relay for Environmental Controls operations","GE","ProtectionRelay-3043","Environmental Controls - Bay 17","true","false","false"
"ENV-038","Pacific Power","Environmental Controls","Grid Controller","Medium","Grid Controller for Environmental Controls operations","GE","GridController-6443","Environmental Controls - Bay 8","true","false","false"
"ENV-039","Pacific Power","Environmental Controls","Arc Flash Monitor","Medium","Arc Flash Monitor for Environmental Controls operations","Siemens","ArcFlashMonitor-5084","Environmental Controls - Bay 19","true","false","false"
"ENV-040","Pacific Power","Environmental Controls","IED","Medium","IED for Environmental Controls operations","GE","IED-4287","Environmental Controls - Bay 17","true","false","false"
"ENV-041","Pacific Power","Environmental Controls","Grid Controller","Medium","Grid Controller for Environmental Controls operations","ABB","GridController-2769","Environmental Controls - Bay 2","true","false","false"
"ENV-042","Pacific Power","Environmental Controls","Protection Relay","Medium","Protection Relay for Environmental Controls operations","Schneider","ProtectionRelay-3749","Environmental Controls - Bay 11","true","false","false"
"ENV-043","Pacific Power","Environmental Controls","Environmental Monitor","Medium","Environmental Monitor for Environmental Controls operations","Honeywell","EnvironmentalMonitor-9772","Environmental Controls - Bay 10","true","false","false"
"ENV-044","Pacific Power","Environmental Controls","IED","Medium","IED for Environmental Controls operations","ABB","IED-8563","Environmental Controls - Bay 17","true","false","false"
"ENV-045","Pacific Power","Environmental Controls","Arc Flash Monitor","Medium","Arc Flash Monitor for Environmental Controls operations","Honeywell","ArcFlashMonitor-9683","Environmental Controls - Bay 6","true","false","false"
"GEN-001","Midwest Electric","Generation Unit","IED","Critical","IED for Generation Unit operations","Siemens","IED-3095","Generation Unit - Bay 15","true","true","true"
"GEN-002","Midwest Electric","Generation Unit","Protection Relay","Critical","Protection Relay for Generation Unit operations","ABB","ProtectionRelay-8665","Generation Unit - Bay 19","true","true","true"
"GEN-003","Midwest Electric","Generation Unit","Arc Flash Monitor","Critical","Arc Flash Monitor for Generation Unit operations","Siemens","ArcFlashMonitor-6796","Generation Unit - Bay 17","true","true","true"
"GEN-004","Midwest Electric","Generation Unit","Environmental Monitor","Critical","Environmental Monitor for Generation Unit operations","Schneider","EnvironmentalMonitor-1901","Generation Unit - Bay 20","true","true","true"
"GEN-005","Midwest Electric","Generation Unit","DMS","Critical","DMS for Generation Unit operations","GE","DMS-4237","Generation Unit - Bay 12","true","true","true"
"GEN-006","Midwest Electric","Generation Unit","EMS","Critical","EMS for Generation Unit operations","GE","EMS-6996","Generation Unit - Bay 10","true","true","true"
"GEN-007","Midwest Electric","Generation Unit","SCADA","Critical","SCADA for Generation Unit operations","Honeywell","SCADA-3207","Generation Unit - Bay 1","true","true","true"
"GEN-008","Midwest Electric","Generation Unit","EMS","Critical","EMS for Generation Unit operations","GE","EMS-6011","Generation Unit - Bay 5","true","true","true"
"GEN-009","Midwest Electric","Generation Unit","EMS","Critical","EMS for Generation Unit operations","GE","EMS-8928","Generation Unit - Bay 7","true","true","true"
"GEN-010","Midwest Electric","Generation Unit","Environmental Monitor","Critical","Environmental Monitor for Generation Unit operations","ABB","EnvironmentalMonitor-7948","Generation Unit - Bay 20","true","true","true"
"GEN-011","Midwest Electric","Generation Unit","IED","Critical","IED for Generation Unit operations","ABB","IED-3014","Generation Unit - Bay 6","true","true","true"
"GEN-012","Midwest Electric","Generation Unit","Arc Flash Monitor","Critical","Arc Flash Monitor for Generation Unit operations","GE","ArcFlashMonitor-1747","Generation Unit - Bay 14","true","true","true"
"GEN-013","Midwest Electric","Generation Unit","HMI","Critical","HMI for Generation Unit operations","Honeywell","HMI-2922","Generation Unit - Bay 18","true","true","true"
"GEN-014","Midwest Electric","Generation Unit","Environmental Monitor","Critical","Environmental Monitor for Generation Unit operations","Siemens","EnvironmentalMonitor-3513","Generation Unit - Bay 6","true","true","true"
"GEN-015","Midwest Electric","Generation Unit","DMS","Critical","DMS for Generation Unit operations","Schneider","DMS-4456","Generation Unit - Bay 6","true","true","true"
"GEN-016","Midwest Electric","Generation Unit","DMS","Critical","DMS for Generation Unit operations","Siemens","DMS-2375","Generation Unit - Bay 8","true","true","true"
"GEN-017","Midwest Electric","Generation Unit","SCADA","Critical","SCADA for Generation Unit operations","GE","SCADA-5474","Generation Unit - Bay 15","true","true","true"
"GEN-018","Midwest Electric","Generation Unit","Grid Controller","Critical","Grid Controller for Generation Unit operations","Schneider","GridController-5096","Generation Unit - Bay 8","true","true","true"
"GEN-019","Midwest Electric","Generation Unit","EMS","Critical","EMS for Generation Unit operations","Honeywell","EMS-8391","Generation Unit - Bay 14","true","true","true"
"GEN-020","Midwest Electric","Generation Unit","SCADA","Critical","SCADA for Generation Unit operations","Honeywell","SCADA-6714","Generation Unit - Bay 17","true","true","true"
"GEN-021","Midwest Electric","Generation Unit","RTU","Critical","RTU for Generation Unit operations","Honeywell","RTU-9538","Generation Unit - Bay 13","true","true","true"
"GEN-022","Midwest Electric","Generation Unit","Protection Relay","Critical","Protection Relay for Generation Unit operations","Honeywell","ProtectionRelay-9285","Generation Unit - Bay 6","true","true","true"
"GEN-023","Midwest Electric","Generation Unit","Environmental Monitor","Critical","Environmental Monitor for Generation Unit operations","ABB","EnvironmentalMonitor-2955","Generation Unit - Bay 5","true","true","true"
"GEN-024","Midwest Electric","Generation Unit","HMI","Critical","HMI for Generation Unit operations","GE","HMI-8990","Generation Unit - Bay 5","true","true","true"
"GEN-025","Midwest Electric","Generation Unit","Environmental Monitor","Critical","Environmental Monitor for Generation Unit operations","ABB","EnvironmentalMonitor-1043","Generation Unit - Bay 4","true","true","true"
"GEN-026","Midwest Electric","Generation Unit","Arc Flash Monitor","Critical","Arc Flash Monitor for Generation Unit operations","Siemens","ArcFlashMonitor-5227","Generation Unit - Bay 15","true","true","true"
"GEN-027","Midwest Electric","Generation Unit","Environmental Monitor","Critical","Environmental Monitor for Generation Unit operations","ABB","EnvironmentalMonitor-6983","Generation Unit - Bay 13","true","true","true"
"GEN-028","Midwest Electric","Generation Unit","HMI","Critical","HMI for Generation Unit operations","Honeywell","HMI-5312","Generation Unit - Bay 14","true","true","true"
"GEN-029","Midwest Electric","Generation Unit","IED","Critical","IED for Generation Unit operations","Schneider","IED-2525","Generation Unit - Bay 5","true","true","true"
"GEN-030","Midwest Electric","Generation Unit","Grid Controller","Critical","Grid Controller for Generation Unit operations","ABB","GridController-8834","Generation Unit - Bay 11","true","true","true"
"GEN-031","Midwest Electric","Generation Unit","Environmental Monitor","Critical","Environmental Monitor for Generation Unit operations","GE","EnvironmentalMonitor-2435","Generation Unit - Bay 5","true","true","true"
"GEN-032","Midwest Electric","Generation Unit","Arc Flash Monitor","Critical","Arc Flash Monitor for Generation Unit operations","Honeywell","ArcFlashMonitor-7406","Generation Unit - Bay 16","true","true","true"
"GEN-033","Midwest Electric","Generation Unit","Protection Relay","Critical","Protection Relay for Generation Unit operations","Honeywell","ProtectionRelay-7700","Generation Unit - Bay 16","true","true","true"
"GEN-034","Midwest Electric","Generation Unit","Grid Controller","Critical","Grid Controller for Generation Unit operations","Schneider","GridController-8433","Generation Unit - Bay 2","true","true","true"
"GEN-035","Midwest Electric","Generation Unit","HMI","Critical","HMI for Generation Unit operations","GE","HMI-9320","Generation Unit - Bay 17","true","true","true"
"GEN-036","Midwest Electric","Generation Unit","EMS","Critical","EMS for Generation Unit operations","Siemens","EMS-1601","Generation Unit - Bay 8","true","true","true"
"GEN-037","Midwest Electric","Generation Unit","DMS","Critical","DMS for Generation Unit operations","Schneider","DMS-9274","Generation Unit - Bay 18","true","true","true"
"GEN-038","Midwest Electric","Generation Unit","RTU","Critical","RTU for Generation Unit operations","Honeywell","RTU-8304","Generation Unit - Bay 11","true","true","true"
"GEN-039","Midwest Electric","Generation Unit","IED","Critical","IED for Generation Unit operations","Schneider","IED-9865","Generation Unit - Bay 4","true","true","true"
"GEN-040","Midwest Electric","Generation Unit","Protection Relay","Critical","Protection Relay for Generation Unit operations","ABB","ProtectionRelay-5533","Generation Unit - Bay 6","true","true","true"
"GEN-041","Midwest Electric","Generation Unit","SCADA","Critical","SCADA for Generation Unit operations","ABB","SCADA-8915","Generation Unit - Bay 3","true","true","true"
"GEN-042","Midwest Electric","Generation Unit","Grid Controller","Critical","Grid Controller for Generation Unit operations","GE","GridController-1370","Generation Unit - Bay 2","true","true","true"
"GEN-043","Midwest Electric","Generation Unit","Environmental Monitor","Critical","Environmental Monitor for Generation Unit operations","GE","EnvironmentalMonitor-3714","Generation Unit - Bay 18","true","true","true"
"GEN-044","Midwest Electric","Generation Unit","Grid Controller","Critical","Grid Controller for Generation Unit operations","ABB","GridController-9241","Generation Unit - Bay 1","true","true","true"
"GEN-045","Midwest Electric","Generation Unit","Environmental Monitor","Critical","Environmental Monitor for Generation Unit operations","Schneider","EnvironmentalMonitor-9289","Generation Unit - Bay 10","true","true","true"
"GEN-046","Midwest Electric","Generation Unit","Arc Flash Monitor","Critical","Arc Flash Monitor for Generation Unit operations","ABB","ArcFlashMonitor-1460","Generation Unit - Bay 6","true","true","true"
"GEN-047","Midwest Electric","Generation Unit","Arc Flash Monitor","Critical","Arc Flash Monitor for Generation Unit operations","Siemens","ArcFlashMonitor-6068","Generation Unit - Bay 12","true","true","true"
"GEN-048","Midwest Electric","Generation Unit","IED","Critical","IED for Generation Unit operations","GE","IED-6526","Generation Unit - Bay 7","true","true","true"
"GEN-049","Midwest Electric","Generation Unit","DMS","Critical","DMS for Generation Unit operations","GE","DMS-6209","Generation Unit - Bay 6","true","true","true"
"GEN-050","Midwest Electric","Generation Unit","SCADA","Critical","SCADA for Generation Unit operations","ABB","SCADA-2973","Generation Unit - Bay 10","true","true","true"
"GEN-051","Midwest Electric","Generation Unit","SCADA","Critical","SCADA for Generation Unit operations","GE","SCADA-8673","Generation Unit - Bay 15","true","true","true"
"GEN-052","Midwest Electric","Generation Unit","RTU","Critical","RTU for Generation Unit operations","ABB","RTU-7269","Generation Unit - Bay 4","true","true","true"
"GEN-053","Midwest Electric","Generation Unit","Environmental Monitor","Critical","Environmental Monitor for Generation Unit operations","Siemens","EnvironmentalMonitor-3184","Generation Unit - Bay 20","true","true","true"
"GEN-054","Midwest Electric","Generation Unit","HMI","Critical","HMI for Generation Unit operations","ABB","HMI-5135","Generation Unit - Bay 9","true","true","true"
"GEN-055","Midwest Electric","Generation Unit","SCADA","Critical","SCADA for Generation Unit operations","Siemens","SCADA-7468","Generation Unit - Bay 20","true","true","true"
"GEN-056","Midwest Electric","Generation Unit","Environmental Monitor","Critical","Environmental Monitor for Generation Unit operations","GE","EnvironmentalMonitor-2946","Generation Unit - Bay 7","true","true","true"
"GEN-057","Midwest Electric","Generation Unit","IED","Critical","IED for Generation Unit operations","Schneider","IED-7506","Generation Unit - Bay 20","true","true","true"
"GEN-058","Midwest Electric","Generation Unit","IED","Critical","IED for Generation Unit operations","Schneider","IED-2515","Generation Unit - Bay 13","true","true","true"
"GEN-059","Midwest Electric","Generation Unit","Arc Flash Monitor","Critical","Arc Flash Monitor for Generation Unit operations","Honeywell","ArcFlashMonitor-1405","Generation Unit - Bay 4","true","true","true"
"GEN-060","Midwest Electric","Generation Unit","IED","Critical","IED for Generation Unit operations","GE","IED-3654","Generation Unit - Bay 15","true","true","true"
"GEN-061","Midwest Electric","Generation Unit","Grid Controller","Critical","Grid Controller for Generation Unit operations","GE","GridController-8071","Generation Unit - Bay 2","true","true","true"
"GEN-062","Midwest Electric","Generation Unit","Arc Flash Monitor","Critical","Arc Flash Monitor for Generation Unit operations","ABB","ArcFlashMonitor-7369","Generation Unit - Bay 14","true","true","true"
"GEN-063","Midwest Electric","Generation Unit","EMS","Critical","EMS for Generation Unit operations","ABB","EMS-3780","Generation Unit - Bay 4","true","true","true"
"GEN-064","Midwest Electric","Generation Unit","EMS","Critical","EMS for Generation Unit operations","Siemens","EMS-3526","Generation Unit - Bay 15","true","true","true"
"GEN-065","Midwest Electric","Generation Unit","Arc Flash Monitor","Critical","Arc Flash Monitor for Generation Unit operations","ABB","ArcFlashMonitor-3996","Generation Unit - Bay 11","true","true","true"
"GEN-066","Midwest Electric","Generation Unit","HMI","Critical","HMI for Generation Unit operations","ABB","HMI-1119","Generation Unit - Bay 1","true","true","true"
"GEN-067","Midwest Electric","Generation Unit","SCADA","Critical","SCADA for Generation Unit operations","ABB","SCADA-7705","Generation Unit - Bay 20","true","true","true"
"GEN-068","Midwest Electric","Generation Unit","EMS","Critical","EMS for Generation Unit operations","GE","EMS-1687","Generation Unit - Bay 2","true","true","true"
"GEN-069","Midwest Electric","Generation Unit","IED","Critical","IED for Generation Unit operations","Honeywell","IED-4929","Generation Unit - Bay 20","true","true","true"
"GEN-070","Midwest Electric","Generation Unit","RTU","Critical","RTU for Generation Unit operations","Siemens","RTU-5561","Generation Unit - Bay 5","true","true","true"
"GEN-071","Midwest Electric","Generation Unit","DMS","Critical","DMS for Generation Unit operations","Siemens","DMS-4122","Generation Unit - Bay 19","true","true","true"
"GEN-072","Midwest Electric","Generation Unit","SCADA","Critical","SCADA for Generation Unit operations","Siemens","SCADA-9541","Generation Unit - Bay 19","true","true","true"
"GEN-073","Midwest Electric","Generation Unit","Arc Flash Monitor","Critical","Arc Flash Monitor for Generation Unit operations","Siemens","ArcFlashMonitor-3783","Generation Unit - Bay 15","true","true","true"
