tag_id,plant,unit,instrument_type,criticality,description,manufacturer,model,location,supplier_integration,jit_enabled,inventory_level,lead_time,supplier_count,kanban_cards
"SC-STA-001","Ford Dearborn","Stamping","JIT Controller","Medium","JIT Controller for Stamping supply chain management","IBM","JITController-7860","Stamping - Supply Chain Station 1","Yes","Yes","965 units","2 days","11","35"
"SC-STA-002","Ford Dearborn","Stamping","Kanban Controller","Medium","Kanban Controller for Stamping supply chain management","Microsoft","KanbanController-4528","Stamping - Supply Chain Station 2","Yes","No","202 units","10 days","7","59"
"SC-STA-003","Ford Dearborn","Stamping","Kanban Controller","Medium","Kanban Controller for Stamping supply chain management","IBM","KanbanController-5706","Stamping - Supply Chain Station 3","Yes","Yes","258 units","1 days","15","47"
"SC-STA-004","Ford Dearborn","Stamping","Supplier Portal","Medium","Supplier Portal for Stamping supply chain management","Custom","SupplierPortal-8011","Stamping - Supply Chain Station 4","Yes","Yes","799 units","8 days","24","54"
"SC-STA-005","Ford Dearborn","Stamping","Inventory Management System","Medium","Inventory Management System for Stamping supply chain management","Oracle","InventoryManagementSystem-2492","Stamping - Supply Chain Station 5","Yes","No","977 units","5 days","16","33"
"SC-STA-006","Ford Dearborn","Stamping","Supplier Quality System","Medium","Supplier Quality System for Stamping supply chain management","SAP","SupplierQualitySystem-8826","Stamping - Supply Chain Station 6","Yes","Yes","939 units","10 days","9","15"
"SC-STA-007","Ford Dearborn","Stamping","Material Tracking System","Medium","Material Tracking System for Stamping supply chain management","SAP","MaterialTrackingSystem-4934","Stamping - Supply Chain Station 7","No","Yes","521 units","11 days","17","22"
"SC-STA-008","Ford Dearborn","Stamping","Supplier Quality System","Medium","Supplier Quality System for Stamping supply chain management","SAP","SupplierQualitySystem-9392","Stamping - Supply Chain Station 8","Yes","Yes","946 units","14 days","16","47"
"SC-STA-009","Ford Dearborn","Stamping","Kanban Controller","Medium","Kanban Controller for Stamping supply chain management","IBM","KanbanController-9652","Stamping - Supply Chain Station 9","Yes","Yes","349 units","14 days","20","58"
"SC-STA-010","Ford Dearborn","Stamping","Supplier Quality System","Medium","Supplier Quality System for Stamping supply chain management","Microsoft","SupplierQualitySystem-9895","Stamping - Supply Chain Station 10","No","No","742 units","5 days","21","40"
