tag_id,plant,unit,instrument_type,criticality,description,manufacturer,model,location,measurement_accuracy,calibration_date,next_calibration,iatf16949_compliant,measurement_type
"QC-QUA-013","Honda Marysville","Quality Control","Coordinate Measuring Machine","High","Coordinate Measuring Machine for Quality Control quality control","Mitutoyo","CoordinateMeasuringMachine-2973","Quality Control - Quality Station 13","0.023mm","2025-08-24","2025-11-06","Yes","Dimensional"
"QC-STA-001","Honda Marysville","Stamping","Test Fixture","High","Test Fixture for Stamping quality control","Hexagon","TestFixture-7346","Stamping - Quality Station 1","0.087mm","2025-10-03","2025-12-21","Yes","Surface Finish"
"QC-STA-002","Honda Marysville","Stamping","Vision System","High","Vision System for Stamping quality control","Hexagon","VisionSystem-5592","Stamping - Quality Station 2","0.031mm","2025-09-18","2026-01-13","Yes","Color"
"QC-STA-003","Honda Marysville","Stamping","Laser Scanner","High","Laser Scanner for Stamping quality control","Cognex","LaserScanner-6874","Stamping - Quality Station 3","0.077mm","2025-08-08","2025-11-01","Yes","Color"
"QC-STA-004","Honda Marysville","Stamping","Test Fixture","High","Test Fixture for Stamping quality control","Keyence","TestFixture-8385","Stamping - Quality Station 4","0.065mm","2025-08-22","2025-11-09","Yes","Force"
"QC-STA-005","Honda Marysville","Stamping","Force Gauge","High","Force Gauge for Stamping quality control","Cognex","ForceGauge-5437","Stamping - Quality Station 5","0.031mm","2025-08-23","2026-01-18","Yes","Hardness"
"QC-BOD-001","Ford Dearborn","Body Shop","Torque Wrench","High","Torque Wrench for Body Shop quality control","Keyence","TorqueWrench-2452","Body Shop - Quality Station 1","0.105mm","2025-09-05","2025-11-14","Yes","Hardness"
"QC-BOD-002","Ford Dearborn","Body Shop","Laser Scanner","High","Laser Scanner for Body Shop quality control","Keyence","LaserScanner-7555","Body Shop - Quality Station 2","0.057mm","2025-08-14","2025-11-19","Yes","Force"
"QC-BOD-003","Ford Dearborn","Body Shop","Laser Scanner","High","Laser Scanner for Body Shop quality control","Mitutoyo","LaserScanner-1953","Body Shop - Quality Station 3","0.020mm","2025-09-30","2025-12-03","No","Dimensional"
"QC-BOD-004","Ford Dearborn","Body Shop","Force Gauge","High","Force Gauge for Body Shop quality control","Hexagon","ForceGauge-7801","Body Shop - Quality Station 4","0.072mm","2025-09-28","2025-12-14","Yes","Dimensional"
"QC-BOD-005","Ford Dearborn","Body Shop","Calibration System","High","Calibration System for Body Shop quality control","Zeiss","CalibrationSystem-3606","Body Shop - Quality Station 5","0.012mm","2025-08-04","2025-11-01","Yes","Hardness"
"QC-BOD-006","Ford Dearborn","Body Shop","Torque Wrench","High","Torque Wrench for Body Shop quality control","Mitutoyo","TorqueWrench-1169","Body Shop - Quality Station 6","0.037mm","2025-08-15","2026-01-16","Yes","Color"
"QC-BOD-007","Ford Dearborn","Body Shop","Calibration System","High","Calibration System for Body Shop quality control","Mitutoyo","CalibrationSystem-8727","Body Shop - Quality Station 7","0.052mm","2025-08-15","2025-10-31","Yes","Force"
"QC-BOD-008","Ford Dearborn","Body Shop","Force Gauge","High","Force Gauge for Body Shop quality control","Zeiss","ForceGauge-9908","Body Shop - Quality Station 8","0.094mm","2025-08-05","2025-12-26","Yes","Dimensional"
"QC-PAI-001","Ford Dearborn","Paint Shop","Coordinate Measuring Machine","High","Coordinate Measuring Machine for Paint Shop quality control","Mitutoyo","CoordinateMeasuringMachine-1790","Paint Shop - Quality Station 1","0.102mm","2025-09-26","2026-01-15","Yes","Hardness"
"QC-PAI-002","Ford Dearborn","Paint Shop","Calibration System","High","Calibration System for Paint Shop quality control","Mitutoyo","CalibrationSystem-2410","Paint Shop - Quality Station 2","0.064mm","2025-09-28","2025-11-27","No","Surface Finish"
"QC-PAI-003","Ford Dearborn","Paint Shop","Torque Wrench","High","Torque Wrench for Paint Shop quality control","Keyence","TorqueWrench-3046","Paint Shop - Quality Station 3","0.100mm","2025-08-16","2025-11-30","No","Dimensional"
"QC-PAI-004","Ford Dearborn","Paint Shop","Torque Wrench","High","Torque Wrench for Paint Shop quality control","Hexagon","TorqueWrench-9050","Paint Shop - Quality Station 4","0.033mm","2025-08-18","2025-11-15","Yes","Dimensional"
"QC-PAI-005","Ford Dearborn","Paint Shop","Test Fixture","High","Test Fixture for Paint Shop quality control","Mitutoyo","TestFixture-7348","Paint Shop - Quality Station 5","0.056mm","2025-08-24","2025-12-31","Yes","Color"
"QC-PAI-006","Ford Dearborn","Paint Shop","Calibration System","High","Calibration System for Paint Shop quality control","Mitutoyo","CalibrationSystem-5468","Paint Shop - Quality Station 6","0.073mm","2025-08-01","2025-12-16","No","Dimensional"
"QC-PAI-007","Ford Dearborn","Paint Shop","Calibration System","High","Calibration System for Paint Shop quality control","Mitutoyo","CalibrationSystem-4356","Paint Shop - Quality Station 7","0.053mm","2025-10-02","2026-01-16","Yes","Surface Finish"
"QC-PAI-008","Ford Dearborn","Paint Shop","Vision System","High","Vision System for Paint Shop quality control","Cognex","VisionSystem-6947","Paint Shop - Quality Station 8","0.082mm","2025-07-27","2025-12-25","No","Color"
"QC-ASS-001","Ford Dearborn","Assembly Line","Torque Wrench","High","Torque Wrench for Assembly Line quality control","Mitutoyo","TorqueWrench-4999","Assembly Line - Quality Station 1","0.097mm","2025-08-03","2026-01-14","No","Hardness"
"QC-ASS-002","Ford Dearborn","Assembly Line","Torque Wrench","High","Torque Wrench for Assembly Line quality control","Cognex","TorqueWrench-4007","Assembly Line - Quality Station 2","0.104mm","2025-09-21","2025-11-18","Yes","Color"
"QC-ASS-003","Ford Dearborn","Assembly Line","Calibration System","High","Calibration System for Assembly Line quality control","Zeiss","CalibrationSystem-8709","Assembly Line - Quality Station 3","0.077mm","2025-08-19","2025-12-29","Yes","Surface Finish"
"QC-ASS-004","Ford Dearborn","Assembly Line","Laser Scanner","High","Laser Scanner for Assembly Line quality control","Keyence","LaserScanner-4386","Assembly Line - Quality Station 4","0.097mm","2025-09-19","2025-12-17","Yes","Dimensional"
"QC-ASS-005","Ford Dearborn","Assembly Line","Vision System","High","Vision System for Assembly Line quality control","Hexagon","VisionSystem-9293","Assembly Line - Quality Station 5","0.097mm","2025-08-11","2025-12-23","Yes","Surface Finish"
"QC-ASS-006","Ford Dearborn","Assembly Line","Coordinate Measuring Machine","High","Coordinate Measuring Machine for Assembly Line quality control","Cognex","CoordinateMeasuringMachine-9978","Assembly Line - Quality Station 6","0.025mm","2025-08-18","2025-11-14","Yes","Hardness"
"QC-ASS-007","Ford Dearborn","Assembly Line","Laser Scanner","High","Laser Scanner for Assembly Line quality control","Keyence","LaserScanner-6037","Assembly Line - Quality Station 7","0.037mm","2025-07-28","2025-12-13","No","Force"
"QC-ASS-008","Ford Dearborn","Assembly Line","Calibration System","High","Calibration System for Assembly Line quality control","Keyence","CalibrationSystem-5718","Assembly Line - Quality Station 8","0.062mm","2025-10-05","2026-01-06","Yes","Hardness"
"QC-ASS-009","Ford Dearborn","Assembly Line","Coordinate Measuring Machine","High","Coordinate Measuring Machine for Assembly Line quality control","Zeiss","CoordinateMeasuringMachine-2513","Assembly Line - Quality Station 9","0.099mm","2025-09-18","2026-01-22","Yes","Force"
"QC-POW-001","Ford Dearborn","Powertrain","Force Gauge","High","Force Gauge for Powertrain quality control","Keyence","ForceGauge-7104","Powertrain - Quality Station 1","0.042mm","2025-08-22","2025-12-28","No","Surface Finish"
"QC-POW-002","Ford Dearborn","Powertrain","Test Fixture","High","Test Fixture for Powertrain quality control","Zeiss","TestFixture-9529","Powertrain - Quality Station 2","0.066mm","2025-10-24","2026-01-05","Yes","Surface Finish"
"QC-POW-003","Ford Dearborn","Powertrain","Torque Wrench","High","Torque Wrench for Powertrain quality control","Keyence","TorqueWrench-6799","Powertrain - Quality Station 3","0.045mm","2025-09-09","2025-12-27","Yes","Dimensional"
"QC-POW-004","Ford Dearborn","Powertrain","Force Gauge","High","Force Gauge for Powertrain quality control","Mitutoyo","ForceGauge-9490","Powertrain - Quality Station 4","0.100mm","2025-10-19","2025-12-28","No","Force"
"QC-POW-005","Ford Dearborn","Powertrain","Force Gauge","High","Force Gauge for Powertrain quality control","Cognex","ForceGauge-4257","Powertrain - Quality Station 5","0.109mm","2025-10-20","2026-01-03","Yes","Surface Finish"
"QC-POW-006","Ford Dearborn","Powertrain","Torque Wrench","High","Torque Wrench for Powertrain quality control","Hexagon","TorqueWrench-8715","Powertrain - Quality Station 6","0.053mm","2025-10-03","2025-10-31","Yes","Hardness"
"QC-POW-007","Ford Dearborn","Powertrain","Calibration System","High","Calibration System for Powertrain quality control","Cognex","CalibrationSystem-2035","Powertrain - Quality Station 7","0.106mm","2025-08-15","2025-12-23","Yes","Color"
"QC-POW-008","Ford Dearborn","Powertrain","Force Gauge","High","Force Gauge for Powertrain quality control","Cognex","ForceGauge-8609","Powertrain - Quality Station 8","0.056mm","2025-10-03","2025-11-19","Yes","Color"
"QC-QUA-001","Ford Dearborn","Quality Control","Vision System","High","Vision System for Quality Control quality control","Keyence","VisionSystem-1633","Quality Control - Quality Station 1","0.103mm","2025-08-22","2025-11-24","Yes","Hardness"
"QC-QUA-002","Ford Dearborn","Quality Control","Calibration System","High","Calibration System for Quality Control quality control","Zeiss","CalibrationSystem-1654","Quality Control - Quality Station 2","0.046mm","2025-09-23","2025-11-17","No","Color"
"QC-QUA-003","Ford Dearborn","Quality Control","Force Gauge","High","Force Gauge for Quality Control quality control","Mitutoyo","ForceGauge-3224","Quality Control - Quality Station 3","0.103mm","2025-08-06","2025-11-25","Yes","Color"
"QC-QUA-004","Ford Dearborn","Quality Control","Test Fixture","High","Test Fixture for Quality Control quality control","Hexagon","TestFixture-2711","Quality Control - Quality Station 4","0.054mm","2025-10-16","2025-10-27","Yes","Surface Finish"
"QC-QUA-005","Ford Dearborn","Quality Control","Coordinate Measuring Machine","High","Coordinate Measuring Machine for Quality Control quality control","Zeiss","CoordinateMeasuringMachine-6673","Quality Control - Quality Station 5","0.081mm","2025-08-17","2026-01-03","Yes","Force"
"QC-QUA-006","Ford Dearborn","Quality Control","Calibration System","High","Calibration System for Quality Control quality control","Keyence","CalibrationSystem-1435","Quality Control - Quality Station 6","0.081mm","2025-10-21","2025-11-29","Yes","Surface Finish"
"QC-QUA-007","Ford Dearborn","Quality Control","Torque Wrench","High","Torque Wrench for Quality Control quality control","Hexagon","TorqueWrench-7946","Quality Control - Quality Station 7","0.024mm","2025-10-12","2025-10-27","Yes","Force"
"QC-QUA-008","Ford Dearborn","Quality Control","Force Gauge","High","Force Gauge for Quality Control quality control","Hexagon","ForceGauge-6268","Quality Control - Quality Station 8","0.038mm","2025-08-29","2025-11-25","Yes","Dimensional"
"QC-QUA-009","Ford Dearborn","Quality Control","Torque Wrench","High","Torque Wrench for Quality Control quality control","Mitutoyo","TorqueWrench-4869","Quality Control - Quality Station 9","0.036mm","2025-09-16","2025-11-04","Yes","Hardness"
"QC-QUA-010","Ford Dearborn","Quality Control","Coordinate Measuring Machine","High","Coordinate Measuring Machine for Quality Control quality control","Zeiss","CoordinateMeasuringMachine-7046","Quality Control - Quality Station 10","0.083mm","2025-08-13","2025-12-15","Yes","Hardness"
"QC-QUA-011","Ford Dearborn","Quality Control","Vision System","High","Vision System for Quality Control quality control","Cognex","VisionSystem-3455","Quality Control - Quality Station 11","0.084mm","2025-08-26","2025-12-17","Yes","Hardness"
"QC-QUA-012","Ford Dearborn","Quality Control","Calibration System","High","Calibration System for Quality Control quality control","Keyence","CalibrationSystem-3350","Quality Control - Quality Station 12","0.094mm","2025-08-21","2026-01-12","Yes","Surface Finish"
"QC-STA-001","Ford Dearborn","Stamping","Calibration System","High","Calibration System for Stamping quality control","Hexagon","CalibrationSystem-8900","Stamping - Quality Station 1","0.049mm","2025-08-25","2025-11-02","Yes","Hardness"
"QC-STA-002","Ford Dearborn","Stamping","Torque Wrench","High","Torque Wrench for Stamping quality control","Mitutoyo","TorqueWrench-8448","Stamping - Quality Station 2","0.086mm","2025-10-15","2025-12-27","No","Force"
"QC-STA-003","Ford Dearborn","Stamping","Torque Wrench","High","Torque Wrench for Stamping quality control","Keyence","TorqueWrench-2706","Stamping - Quality Station 3","0.107mm","2025-10-08","2025-10-26","Yes","Hardness"
"QC-STA-004","Ford Dearborn","Stamping","Calibration System","High","Calibration System for Stamping quality control","Mitutoyo","CalibrationSystem-8626","Stamping - Quality Station 4","0.023mm","2025-08-15","2025-10-29","Yes","Hardness"
"QC-STA-005","Ford Dearborn","Stamping","Calibration System","High","Calibration System for Stamping quality control","Keyence","CalibrationSystem-5796","Stamping - Quality Station 5","0.064mm","2025-08-04","2025-12-12","No","Force"
"QC-STA-006","Ford Dearborn","Stamping","Laser Scanner","High","Laser Scanner for Stamping quality control","Cognex","LaserScanner-7674","Stamping - Quality Station 6","0.046mm","2025-10-01","2025-12-19","Yes","Hardness"
"QC-STA-007","Ford Dearborn","Stamping","Torque Wrench","High","Torque Wrench for Stamping quality control","Mitutoyo","TorqueWrench-2739","Stamping - Quality Station 7","0.109mm","2025-08-24","2026-01-11","No","Dimensional"
"QC-STA-008","Ford Dearborn","Stamping","Test Fixture","High","Test Fixture for Stamping quality control","Zeiss","TestFixture-9730","Stamping - Quality Station 8","0.103mm","2025-10-19","2025-11-04","Yes","Dimensional"
"QC-STA-009","Ford Dearborn","Stamping","Vision System","High","Vision System for Stamping quality control","Keyence","VisionSystem-7384","Stamping - Quality Station 9","0.030mm","2025-09-08","2026-01-04","Yes","Dimensional"
"QC-STA-010","Ford Dearborn","Stamping","Coordinate Measuring Machine","High","Coordinate Measuring Machine for Stamping quality control","Mitutoyo","CoordinateMeasuringMachine-5707","Stamping - Quality Station 10","0.067mm","2025-08-15","2025-11-24","No","Hardness"
"QC-STA-011","Ford Dearborn","Stamping","Vision System","High","Vision System for Stamping quality control","Cognex","VisionSystem-4212","Stamping - Quality Station 11","0.035mm","2025-08-06","2025-11-15","Yes","Color"
"QC-STA-012","Ford Dearborn","Stamping","Torque Wrench","High","Torque Wrench for Stamping quality control","Zeiss","TorqueWrench-5099","Stamping - Quality Station 12","0.049mm","2025-09-03","2026-01-12","Yes","Hardness"
"QC-STA-013","Ford Dearborn","Stamping","Test Fixture","High","Test Fixture for Stamping quality control","Keyence","TestFixture-3203","Stamping - Quality Station 13","0.099mm","2025-09-10","2025-12-19","No","Dimensional"
